項目名,支払日,カテゴリー,金額,備考,決算日,最終更新日時,中間DateBase
Amazon Prime,2026年4月15日,固定費,￥300,詳しくはPay Payの「取引履歴」を確認してください,2026年4月30日,2026年4月15日 0:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Googleplay point失効,2026年3月31日,雑費,￥85,,2026年3月31日,2026年3月31日 18:24,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月30日,雑費,￥61,PayPayポイント運用,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月29日,交通費,￥160,９９３３０１　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月28日,交通費,￥160,SU野田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
そば,2026年3月28日,食費,￥980,７２０６９２　ＯＲＡＧＡＳＯＢ,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
丸亀製麺,2026年3月28日,食費,￥440,５７８３３２　ＭＡＲＵＧＡＭＥ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月28日,交通費,￥160,４６０４１３　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
定期券,2026年3月27日,立替,"￥74,170",２４７８１７　ＨＡＮＳＨＩＮＤ,2026年3月31日,2026年3月31日 18:21,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月27日,交通費,￥160,SU野田　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月27日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月27日,雑費,￥24,PayPayポイント運用,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
カラオケ,2026年3月25日,雑費,"￥7,940",３０８９６４　ＪＡＮＫＡＲＡ,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥350,８５３６０２　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥160,SU姫島　 入場/SU福島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥200,SU姫島　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
なつき,2026年3月25日,雑費,"￥2,000",なつき,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
三田製麺所,2026年3月24日,食費,"￥1,340",４７７７１３　ＭＩＴＡＳＥＩＭ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月24日,交通費,￥160,３６６６０５　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月24日,交通費,￥160,SU姫島　 入場/SU野田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月24日,交通費,￥190,SU野田　 入場/SU阿波座 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
カラオケ,2026年3月23日,雑費,"￥3,520",３００８０８　ＪＡＮＫＡＲＡ,2026年3月31日,2026年3月31日 18:21,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月23日,食費,￥951,２４３３４４　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月23日,交通費,￥160,SU姫島　 入場/SU野田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月23日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月22日,交通費,￥160,４１５６００　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月22日,交通費,￥700,SU八尾　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
なつき,2026年3月22日,雑費,"￥1,000",なつき,2026年3月31日,2026年3月31日 18:21,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月21日,食費,"￥1,001",３４３２５３　ＬＡＷＳＯＮ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
打ち上げ買い出し,2026年3月21日,食費,"￥2,649",２０７０８４　ＫＩＮＳＨＯ　Ｓ,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
丸亀製麺,2026年3月21日,食費,￥380,０２９９１０　ＭＡＲＵＧＡＭＥ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月21日,交通費,￥160,SU野田　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月21日,交通費,￥200,JW大阪　 入場/JW鶴橋　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月21日,交通費,￥300,SU鶴橋　 入場/SU八尾　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ざき延長,2026年3月21日,雑費,"￥2,000",ざき,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ざき延長,2026年3月21日,雑費,"￥2,000",ざき,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
須磨テラス,2026年3月20日,食費,"￥1,300",６１７５２７　ＳＵＭＡＴＥＲＲ,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月20日,交通費,￥750,４０６０８２　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月19日,交通費,￥390,８９８３２５　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月18日,交通費,￥200,SU姫島　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月18日,交通費,￥180,JW京橋　 入場/JW大阪　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
シアトルズコーヒー,2026年3月18日,食費,￥990,７３８６５７　ＬＵＣＵＡＯＳＡ,2026年3月31日,2026年3月31日 18:37,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ラーメン,2026年3月18日,食費,"￥1,150",７００８４６　ＮＩＫＵ　ＴＯ,2026年3月31日,2026年3月31日 18:23,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ビアードパパ,2026年3月18日,食費,￥260,５８１６７８　BP KEIHAN HIRAKATASHI STA,2026年3月31日,2026年3月31日 18:40,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
バス交通費,2026年3月18日,交通費,￥680,４１８３７８　MIEKOUTSU BUS,2026年3月31日,2026年3月31日 18:41,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
もより市,2026年3月18日,食費,￥280,もより市 - もより市京橋駅ホーム,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
天川敬太郎,2026年3月18日,食費,"￥1,130",天川敬太郎,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月17日,食費,￥150,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
京阪謎とき,2026年3月17日,雑費,"￥2,600",３２７７０７　ＳＵＲＵＴＴＯ,2026年3月31日,2026年3月31日 18:11,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月17日,食費,"￥1,317",２５８５８０　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月17日,食費,￥387,２５１６２８　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
赤福カフェ,2026年3月17日,食費,￥800,０９９９６８　ＡＫＡＦＵＫＵ,2026年3月31日,2026年3月31日 18:11,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
赤福お土産,2026年3月17日,食費,"￥1,500",０９８７７８　ＡＫＡＦＵＫＵ,2026年3月31日,2026年3月31日 18:11,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
伊勢うどん,2026年3月17日,食費,"￥1,500",０７６６９６　ＯＫＡＧＥＹＯＫ,2026年3月31日,2026年3月31日 18:11,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月17日,食費,￥183,９８２０６４　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月17日,交通費,￥320,９４９２０７　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月17日,雑費,￥1,PayPayポイント運用,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
二光堂,2026年3月17日,食費,￥630,二光堂 - 二光堂　出店,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
おかげ横丁,2026年3月17日,食費,￥480,おかげ横丁 - おかげ横丁　豚捨　物販,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
伊勢プリンの鉄人,2026年3月17日,食費,￥450,伊勢プリンの鉄人 - 伊勢プリンの鉄人　おはらい町店,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
特急券,2026年3月16日,交通費,"￥1,240",８５７１５５　ＫＩＮＫＩＮＩＴ,2026年3月31日,2026年3月31日 18:24,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
向陽閣おみやげ,2026年3月15日,雑費,￥900,０５７７４５　ＨＹＯＥ　ＫＯＹ,2026年3月31日,2026年3月31日 18:13,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Amazon Prime,2026年3月15日,固定費,￥300,詳しくはPay Payの「取引履歴」を確認してください,2026年3月31日,2026年3月15日 0:00,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月14日,交通費,￥750,４８１３２３　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月13日,食費,￥108,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
丸亀製麺,2026年3月13日,食費,￥790,１７４８６３　ＭＡＲＵＧＡＭＥ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
安藤,2026年3月13日,立替,"￥4,000",安藤,2026年3月31日,2026年3月31日 18:13,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月12日,交通費,￥700,４７２６１５　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月12日,雑費,￥1,PayPayポイント運用,2026年3月31日,2026年3月31日 18:13,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月10日,交通費,￥200,JW大阪　 入場/JW鶴橋　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月10日,食費,￥149,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月10日,交通費,￥490,SU鶴橋　 入場/SU大教大 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月10日,交通費,￥360,SU大教大 入場/SU八尾　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月10日,交通費,￥410,JW忍ヶ丘 入場/JW御幣島 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月10日,交通費,￥320,５０２１６３　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月10日,雑費,￥60,PayPayポイント運用,2026年3月31日,2026年3月31日 18:13,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
すたば,2026年3月10日,食費,"￥2,102",なかじーの分も,2026年3月31日,2026年3月31日 17:36,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
アメリカンチャレンジャー,2026年3月10日,食費,"￥1,780",備考を入力,2026年3月31日,2026年3月10日 20:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月9日,交通費,￥400,０３５５３０　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月9日,雑費,￥2,PayPayポイント運用,2026年3月31日,2026年3月31日 18:13,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月8日,交通費,￥320,５４７７０７　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
丸亀製麺,2026年3月7日,食費,"￥1,240",２８８３１０　ＭＡＲＵＧＡＭＥ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ラウンドワン,2026年3月6日,雑費,"￥4,960",９２９８３５　ＲＯＵＮＤ　ＯＮ,2026年3月31日,2026年3月31日 18:14,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
きりん寺,2026年3月6日,食費,"￥1,050",備考を入力,2026年3月31日,2026年3月6日 11:56,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月5日,食費,￥328,２３２５８３　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月5日,交通費,￥240,０５２８５８　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
モノレール交通費,2026年3月5日,交通費,￥200,０４８３９２　ＯＳＡＫＡ　ＭＯ,2026年3月31日,2026年3月31日 18:41,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月5日,雑費,￥16,PayPayポイント運用,2026年3月31日,2026年3月31日 18:20,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
もだんやきあ,2026年3月5日,食費,"￥1,950",備考を入力,2026年3月31日,2026年3月6日 11:56,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月4日,交通費,￥240,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月4日,交通費,￥150,SP真駒内 入場/SP南平岸 割出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月4日,交通費,￥250,SP南平岸 入場/SPさっぽ 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月4日,交通費,￥580,JH札幌　 入場/JH北広島 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月4日,交通費,￥240,北中央B ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月4日,交通費,￥600,JH北広島 入場/JH新千空 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月4日,食費,￥183,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
お土産,2026年3月4日,雑費,"￥2,094",７５５１１９　ＣＨＩＴＯＳＥ,2026年3月31日,2026年3月31日 18:20,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
お土産,2026年3月4日,雑費,￥864,７４９７８２　ＣＨＩＴＯＳＥ,2026年3月31日,2026年3月31日 18:20,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
お土産,2026年3月4日,雑費,￥894,７２０８０７　ＦＬＡＧＳＨＩＰ,2026年3月31日,2026年3月31日 18:20,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月4日,雑費,￥1,PayPayポイント運用,2026年3月31日,2026年3月31日 18:20,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月3日,交通費,￥240,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月3日,交通費,￥580,JH小樽　 入場/JH手稲　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月3日,交通費,￥360,JH手稲　 入場/JH札幌　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月3日,交通費,￥270,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月3日,食費,￥180,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
セブンイレブン,2026年3月3日,食費,￥397,４４６２４９　ＳＥＶＥＮ－ＥＬ,2026年3月31日,2026年3月31日 18:18,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
るたおお土産,2026年3月3日,雑費,"￥6,210",３４１４６１　ＬＥＴＡＯＵＮＧ,2026年3月31日,2026年3月31日 18:19,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
乗車券,2026年3月3日,交通費,"￥2,020",２４２６７２　ＪＲ　ＣＥＮＴＲ,2026年3月31日,2026年3月31日 18:19,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
特急券,2026年3月3日,交通費,"￥4,360",２３２５４３　ＪＲ　ＥＡＳＴ,2026年3月31日,2026年3月31日 18:19,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
なかじ,2026年3月3日,食費,￥159,なかじ,2026年3月31日,2026年3月31日 18:26,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
なかじ,2026年3月3日,食費,"￥2,700",なかじ,2026年3月31日,2026年3月31日 18:26,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
なかじ,2026年3月3日,食費,￥590,なかじ,2026年3月31日,2026年3月31日 18:26,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
林　宜輝,2026年3月3日,食費,"￥4,675",林　宜輝,2026年3月31日,2026年3月31日 18:20,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Shiro買い物,2026年3月3日,雑費,"￥11,770",２１８６２２　ＳＱ＊ＳＨＩＲＯ,2026年3月31日,2026年3月31日 18:19,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
乗車券・特急券,2026年3月3日,交通費,"￥11,560",１３８４５５　ＪＲ　ＥＡＳＴ,2026年3月31日,2026年3月31日 18:20,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月2日,交通費,￥240,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月2日,食費,￥170,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月2日,食費,￥150,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月2日,交通費,￥210,SP真駒内 入場/SPすすき 割出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月2日,食費,￥183,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月2日,交通費,￥240,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
札幌国際スキー場,2026年3月2日,食費,￥520,札幌国際スキー場 - レストラン　スカーレル,2026年3月31日,2026年3月31日 18:08,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月2日,食費,￥584,９６４０２６　ＬＡＷＳＯＮ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月1日,交通費,"￥1,230",JH新千空 入場/JH札幌　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月1日,交通費,￥270,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月1日,交通費,￥240,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月1日,食費,￥980,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月1日,交通費,￥240,じょうB ﾊﾞｽ等場/0 0場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月1日,食費,￥180,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月1日,食費,￥180,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
